Address,Price,Daft URL
"Bachelors Walk, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-bachelors-walk-dublin-1/2945329
"Apartment 3, 53 Amiens Street, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-apartment-3-53-amiens-street-dublin-1/3234458
"Apartment 26, Mellor Court, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-apartment-26-mellor-court-dublin-1/3181486
"Apartment 224, Bachelors Walk Apartments, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-apartment-224-bachelors-walk-apartments-dublin-1/2898297
"Flat 7, 75 Dorset Street Upper, Dublin 1",1400,https://www.daft.ie/for-rent/flat-flat-7-75-dorset-street-upper-dublin-1/3213344
"Marlborough Court, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-marlborough-court-dublin-1/2869927
"Bachelors Walk Apartments, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-bachelors-walk-apartments-dublin-1/3280748
"Bachelors Walk, Dublin 1, Temple Bar, Dublin 2",1400,https://www.daft.ie/for-rent/apartment-bachelors-walk-dublin-1-temple-bar-dublin-2/3145423
"MountJoy Square South, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-mountjoy-square-south-dublin-1/3197476
"Flat 3, 17 Gardiner Place, Dublin 1",1400,https://www.daft.ie/for-rent/flat-flat-3-17-gardiner-place-dublin-1/3278439
"Bachelor's Walk Apartments, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-bachelors-walk-apartments-dublin-1/3171395
"Bachelors Walk Apartments, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-bachelors-walk-apartments-dublin-1/3277334
"Liffey Street, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-liffey-street-dublin-1/3213042
"Amiens Square Amiens st, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-amiens-square-amiens-st-dublin-1/3275085
"Kings Court, Parnell Street, Dublin 1",1400,https://www.daft.ie/for-rent/apartment-kings-court-parnell-street-dublin-1/3268819
